WID,woreda_name,obs_date,test_pf_tot,test_pv_only,pop_at_risk,mal_case,iso_year,iso_week,pfm_inc,pv_inc,data_source
121,Abargelie,2016-01-10,19,7,50561.98086,26,2016,1,0.3757764169210201,0.1384439430761653,Simulated/Demo use only
121,Abargelie,2016-01-17,19,7,50561.98086,26,2016,2,0.3757764169210201,0.1384439430761653,Simulated/Demo use only
121,Abargelie,2016-01-24,16,6,50561.98086,22,2016,3,0.3164432984598064,0.1186662369224274,Simulated/Demo use only
121,Abargelie,2016-01-31,17,8,50561.98086,25,2016,4,0.3362210046135443,0.1582216492299032,Simulated/Demo use only
121,Abargelie,2016-02-07,18,7,50561.98086,25,2016,5,0.35599871076728223,0.1384439430761653,Simulated/Demo use only
121,Abargelie,2016-02-14,18,8,50561.98086,26,2016,6,0.35599871076728223,0.1582216492299032,Simulated/Demo use only
121,Abargelie,2016-02-21,19,8,50561.98086,27,2016,7,0.3757764169210201,0.1582216492299032,Simulated/Demo use only
121,Abargelie,2016-02-28,21,7,50561.98086,28,2016,8,0.4153318292284959,0.1384439430761653,Simulated/Demo use only
121,Abargelie,2016-03-06,21,6,50561.98086,27,2016,9,0.4153318292284959,0.1186662369224274,Simulated/Demo use only
121,Abargelie,2016-03-13,19,7,50561.98086,26,2016,10,0.3757764169210201,0.1384439430761653,Simulated/Demo use only
121,Abargelie,2016-03-20,19,7,50561.98086,26,2016,11,0.3757764169210201,0.1384439430761653,Simulated/Demo use only
121,Abargelie,2016-03-27,18,6,50561.98086,24,2016,12,0.35599871076728223,0.1186662369224274,Simulated/Demo use only
121,Abargelie,2016-04-03,18,5,50561.98086,23,2016,13,0.35599871076728223,0.0988885307686895,Simulated/Demo use only
121,Abargelie,2016-04-10,16,5,50561.98086,21,2016,14,0.3164432984598064,0.0988885307686895,Simulated/Demo use only
121,Abargelie,2016-04-17,18,4,50561.98086,22,2016,15,0.35599871076728223,0.0791108246149516,Simulated/Demo use only
121,Abargelie,2016-04-24,16,2,50561.98086,18,2016,16,0.3164432984598064,0.0395554123074758,Simulated/Demo use only
121,Abargelie,2016-05-01,17,3,50561.98086,20,2016,17,0.3362210046135443,0.0593331184612137,Simulated/Demo use only
121,Abargelie,2016-05-08,15,3,50561.98086,18,2016,18,0.2966655923060685,0.0593331184612137,Simulated/Demo use only
121,Abargelie,2016-05-15,20,3,50561.98086,23,2016,19,0.395554123074758,0.0593331184612137,Simulated/Demo use only
121,Abargelie,2016-05-22,16,3,50561.98086,19,2016,20,0.3164432984598064,0.0593331184612137,Simulated/Demo use only
121,Abargelie,2016-05-29,17,3,50561.98086,20,2016,21,0.3362210046135443,0.0593331184612137,Simulated/Demo use only
121,Abargelie,2016-06-05,16,3,50561.98086,19,2016,22,0.3164432984598064,0.0593331184612137,Simulated/Demo use only
121,Abargelie,2016-06-12,17,3,50561.98086,20,2016,23,0.3362210046135443,0.0593331184612137,Simulated/Demo use only
121,Abargelie,2016-06-19,14,4,50561.98086,18,2016,24,0.2768878861523306,0.0791108246149516,Simulated/Demo use only
121,Abargelie,2016-06-26,20,4,50561.98086,24,2016,25,0.395554123074758,0.0791108246149516,Simulated/Demo use only
121,Abargelie,2016-07-03,26,5,50561.98086,31,2016,26,0.5142203599971854,0.0988885307686895,Simulated/Demo use only
121,Abargelie,2016-07-10,34,7,50561.98086,41,2016,27,0.6724420092270886,0.1384439430761653,Simulated/Demo use only
121,Abargelie,2016-07-17,39,8,51472.09652,47,2016,28,0.7576920824440512,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2016-07-24,45,9,51472.09652,54,2016,29,0.8742600951277514,0.17485201902555028,Simulated/Demo use only
121,Abargelie,2016-07-31,44,12,51472.09652,56,2016,30,0.8548320930138014,0.23313602536740038,Simulated/Demo use only
121,Abargelie,2016-08-07,38,12,51472.09652,50,2016,31,0.7382640803301012,0.23313602536740038,Simulated/Demo use only
121,Abargelie,2016-08-14,34,11,51472.09652,45,2016,32,0.660552071874301,0.21370802325345034,Simulated/Demo use only
121,Abargelie,2016-08-21,33,10,51472.09652,43,2016,33,0.641124069760351,0.1942800211395003,Simulated/Demo use only
121,Abargelie,2016-08-28,33,8,51472.09652,41,2016,34,0.641124069760351,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2016-09-04,37,7,51472.09652,44,2016,35,0.7188360782161511,0.13599601479765022,Simulated/Demo use only
121,Abargelie,2016-09-11,45,7,51472.09652,52,2016,36,0.8742600951277514,0.13599601479765022,Simulated/Demo use only
121,Abargelie,2016-09-18,57,6,51472.09652,63,2016,37,1.1073961204951517,0.11656801268370019,Simulated/Demo use only
121,Abargelie,2016-09-25,77,8,51472.09652,85,2016,38,1.4959561627741524,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2016-10-02,94,9,51472.09652,103,2016,39,1.826232198711303,0.17485201902555028,Simulated/Demo use only
121,Abargelie,2016-10-09,111,11,51472.09652,122,2016,40,2.1565082346484536,0.21370802325345034,Simulated/Demo use only
121,Abargelie,2016-10-16,130,17,51472.09652,147,2016,41,2.525640274813504,0.3302760359371505,Simulated/Demo use only
121,Abargelie,2016-10-23,136,18,51472.09652,154,2016,42,2.642208287497204,0.34970403805110056,Simulated/Demo use only
121,Abargelie,2016-10-30,124,19,51472.09652,143,2016,43,2.4090722621298037,0.3691320401650506,Simulated/Demo use only
121,Abargelie,2016-11-06,120,20,51472.09652,140,2016,44,2.3313602536740037,0.3885600422790006,Simulated/Demo use only
121,Abargelie,2016-11-13,114,22,51472.09652,136,2016,45,2.2147922409903034,0.4274160465069007,Simulated/Demo use only
121,Abargelie,2016-11-20,102,19,51472.09652,121,2016,46,1.9816562156229032,0.3691320401650506,Simulated/Demo use only
121,Abargelie,2016-11-27,93,18,51472.09652,111,2016,47,1.806804196597353,0.34970403805110056,Simulated/Demo use only
121,Abargelie,2016-12-04,91,18,51472.09652,109,2016,48,1.7679481923694527,0.34970403805110056,Simulated/Demo use only
121,Abargelie,2016-12-11,80,19,51472.09652,99,2016,49,1.5542401691160024,0.3691320401650506,Simulated/Demo use only
121,Abargelie,2016-12-18,70,15,51472.09652,85,2016,50,1.359960147976502,0.29142003170925046,Simulated/Demo use only
121,Abargelie,2016-12-25,60,13,51472.09652,73,2016,51,1.1656801268370018,0.25256402748135043,Simulated/Demo use only
121,Abargelie,2017-01-01,51,12,51472.09652,63,2016,52,0.9908281078114516,0.23313602536740038,Simulated/Demo use only
121,Abargelie,2017-01-08,41,13,51472.09652,54,2017,1,0.7965480866719513,0.25256402748135043,Simulated/Demo use only
121,Abargelie,2017-01-15,38,9,51472.09652,47,2017,2,0.7382640803301012,0.17485201902555028,Simulated/Demo use only
121,Abargelie,2017-01-22,31,8,51472.09652,39,2017,3,0.6022680655324509,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-01-29,29,8,51472.09652,37,2017,4,0.5634120613045509,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-02-05,26,8,51472.09652,34,2017,5,0.5051280549627009,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-02-12,27,8,51472.09652,35,2017,6,0.5245560570766509,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-02-19,30,8,51472.09652,38,2017,7,0.5828400634185009,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-02-26,29,8,51472.09652,37,2017,8,0.5634120613045509,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-03-05,29,9,51472.09652,38,2017,9,0.5634120613045509,0.17485201902555028,Simulated/Demo use only
121,Abargelie,2017-03-12,29,8,51472.09652,37,2017,10,0.5634120613045509,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-03-19,25,7,51472.09652,32,2017,11,0.48570005284875073,0.13599601479765022,Simulated/Demo use only
121,Abargelie,2017-03-26,21,8,51472.09652,29,2017,12,0.40798804439295067,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-04-02,18,8,51472.09652,26,2017,13,0.34970403805110056,0.15542401691160024,Simulated/Demo use only
121,Abargelie,2017-04-09,16,7,51472.09652,23,2017,14,0.3108480338232005,0.13599601479765022,Simulated/Demo use only
121,Abargelie,2017-04-16,17,7,51472.09652,24,2017,15,0.3302760359371505,0.13599601479765022,Simulated/Demo use only
121,Abargelie,2017-04-23,18,7,51472.09652,25,2017,16,0.34970403805110056,0.13599601479765022,Simulated/Demo use only
121,Abargelie,2017-04-30,18,6,51472.09652,24,2017,17,0.34970403805110056,0.11656801268370019,Simulated/Demo use only
121,Abargelie,2017-05-07,19,6,51472.09652,25,2017,18,0.3691320401650506,0.11656801268370019,Simulated/Demo use only
