WID,woreda_name,obs_date,test_pf_tot,test_pv_only,pop_at_risk,mal_case,iso_year,iso_week,data_source
23,Fogera,2012-07-15,696,118,209534.1466,814,2012,28,Simulated/Demo use only
23,Fogera,2012-07-22,656,122,209534.1466,778,2012,29,Simulated/Demo use only
23,Fogera,2012-07-29,551,107,209534.1466,658,2012,30,Simulated/Demo use only
23,Fogera,2012-08-05,493,106,209534.1466,599,2012,31,Simulated/Demo use only
23,Fogera,2012-08-12,430,106,209534.1466,536,2012,32,Simulated/Demo use only
23,Fogera,2012-08-19,405,107,209534.1466,512,2012,33,Simulated/Demo use only
23,Fogera,2012-08-26,384,111,209534.1466,495,2012,34,Simulated/Demo use only
23,Fogera,2012-09-02,393,117,209534.1466,510,2012,35,Simulated/Demo use only
23,Fogera,2012-09-09,411,123,209534.1466,534,2012,36,Simulated/Demo use only
23,Fogera,2012-09-16,469,135,209534.1466,604,2012,37,Simulated/Demo use only
23,Fogera,2012-09-23,545,147,209534.1466,692,2012,38,Simulated/Demo use only
23,Fogera,2012-09-30,633,158,209534.1466,791,2012,39,Simulated/Demo use only
23,Fogera,2012-10-07,748,165,209534.1466,913,2012,40,Simulated/Demo use only
23,Fogera,2012-10-14,898,164,209534.1466,1062,2012,41,Simulated/Demo use only
23,Fogera,2012-10-21,1098,163,209534.1466,1261,2012,42,Simulated/Demo use only
23,Fogera,2012-10-28,1288,173,209534.1466,1461,2012,43,Simulated/Demo use only
23,Fogera,2012-11-04,1477,183,209534.1466,1660,2012,44,Simulated/Demo use only
23,Fogera,2012-11-11,1647,200,209534.1466,1847,2012,45,Simulated/Demo use only
23,Fogera,2012-11-18,1751,227,209534.1466,1978,2012,46,Simulated/Demo use only
23,Fogera,2012-11-25,1723,242,209534.1466,1965,2012,47,Simulated/Demo use only
23,Fogera,2012-12-02,1621,247,209534.1466,1868,2012,48,Simulated/Demo use only
23,Fogera,2012-12-09,1481,244,209534.1466,1725,2012,49,Simulated/Demo use only
23,Fogera,2012-12-16,1262,234,209534.1466,1496,2012,50,Simulated/Demo use only
23,Fogera,2012-12-23,1041,216,209534.1466,1257,2012,51,Simulated/Demo use only
23,Fogera,2012-12-30,843,198,209534.1466,1041,2012,52,Simulated/Demo use only
23,Fogera,2013-01-06,691,188,209534.1466,879,2013,1,Simulated/Demo use only
23,Fogera,2013-01-13,558,174,209534.1466,732,2013,2,Simulated/Demo use only
23,Fogera,2013-01-20,475,165,209534.1466,640,2013,3,Simulated/Demo use only
23,Fogera,2013-01-27,411,154,209534.1466,565,2013,4,Simulated/Demo use only
23,Fogera,2013-02-03,363,147,209534.1466,510,2013,5,Simulated/Demo use only
23,Fogera,2013-02-10,337,136,209534.1466,473,2013,6,Simulated/Demo use only
23,Fogera,2013-02-17,318,133,209534.1466,451,2013,7,Simulated/Demo use only
23,Fogera,2013-02-24,298,129,209534.1466,427,2013,8,Simulated/Demo use only
23,Fogera,2013-03-03,293,129,209534.1466,422,2013,9,Simulated/Demo use only
23,Fogera,2013-03-10,309,126,209534.1466,435,2013,10,Simulated/Demo use only
23,Fogera,2013-03-17,325,123,209534.1466,448,2013,11,Simulated/Demo use only
23,Fogera,2013-03-24,352,122,209534.1466,474,2013,12,Simulated/Demo use only
23,Fogera,2013-03-31,396,115,209534.1466,511,2013,13,Simulated/Demo use only
23,Fogera,2013-04-07,436,109,209534.1466,545,2013,14,Simulated/Demo use only
23,Fogera,2013-04-14,478,100,209534.1466,578,2013,15,Simulated/Demo use only
23,Fogera,2013-04-21,526,97,209534.1466,623,2013,16,Simulated/Demo use only
23,Fogera,2013-04-28,588,94,209534.1466,682,2013,17,Simulated/Demo use only
23,Fogera,2013-05-05,668,99,209534.1466,767,2013,18,Simulated/Demo use only
23,Fogera,2013-05-12,752,109,209534.1466,861,2013,19,Simulated/Demo use only
23,Fogera,2013-05-19,869,126,209534.1466,995,2013,20,Simulated/Demo use only
23,Fogera,2013-05-26,958,132,209534.1466,1090,2013,21,Simulated/Demo use only
23,Fogera,2013-06-02,1015,144,209534.1466,1159,2013,22,Simulated/Demo use only
23,Fogera,2013-06-09,1041,150,209534.1466,1191,2013,23,Simulated/Demo use only
23,Fogera,2013-06-16,1010,144,209534.1466,1154,2013,24,Simulated/Demo use only
23,Fogera,2013-06-23,914,136,209534.1466,1050,2013,25,Simulated/Demo use only
23,Fogera,2013-06-30,805,133,209534.1466,938,2013,26,Simulated/Demo use only
23,Fogera,2013-07-07,670,116,209534.1466,786,2013,27,Simulated/Demo use only
23,Fogera,2013-07-14,532,102,213305.7612,634,2013,28,Simulated/Demo use only
23,Fogera,2013-07-21,415,96,213305.7612,511,2013,29,Simulated/Demo use only
23,Fogera,2013-07-28,317,82,213305.7612,399,2013,30,Simulated/Demo use only
23,Fogera,2013-08-04,243,65,213305.7612,308,2013,31,Simulated/Demo use only
23,Fogera,2013-08-11,196,58,213305.7612,254,2013,32,Simulated/Demo use only
23,Fogera,2013-08-18,155,51,213305.7612,206,2013,33,Simulated/Demo use only
23,Fogera,2013-08-25,137,39,213305.7612,176,2013,34,Simulated/Demo use only
23,Fogera,2013-09-01,125,34,213305.7612,159,2013,35,Simulated/Demo use only
23,Fogera,2013-09-08,110,35,213305.7612,145,2013,36,Simulated/Demo use only
23,Fogera,2013-09-15,112,33,213305.7612,145,2013,37,Simulated/Demo use only
23,Fogera,2013-09-22,119,34,213305.7612,153,2013,38,Simulated/Demo use only
23,Fogera,2013-09-29,127,39,213305.7612,166,2013,39,Simulated/Demo use only
23,Fogera,2013-10-06,140,44,213305.7612,184,2013,40,Simulated/Demo use only
23,Fogera,2013-10-13,160,44,213305.7612,204,2013,41,Simulated/Demo use only
23,Fogera,2013-10-20,175,45,213305.7612,220,2013,42,Simulated/Demo use only
23,Fogera,2013-10-27,193,46,213305.7612,239,2013,43,Simulated/Demo use only
23,Fogera,2013-11-03,203,43,213305.7612,246,2013,44,Simulated/Demo use only
23,Fogera,2013-11-10,218,43,213305.7612,261,2013,45,Simulated/Demo use only
23,Fogera,2013-11-17,221,49,213305.7612,270,2013,46,Simulated/Demo use only
23,Fogera,2013-11-24,219,54,213305.7612,273,2013,47,Simulated/Demo use only
23,Fogera,2013-12-01,204,55,213305.7612,259,2013,48,Simulated/Demo use only
23,Fogera,2013-12-08,195,57,213305.7612,252,2013,49,Simulated/Demo use only
23,Fogera,2013-12-15,170,61,213305.7612,231,2013,50,Simulated/Demo use only
23,Fogera,2013-12-22,146,57,213305.7612,203,2013,51,Simulated/Demo use only
23,Fogera,2013-12-29,128,46,213305.7612,174,2013,52,Simulated/Demo use only
23,Fogera,2014-01-05,109,45,213305.7612,154,2014,1,Simulated/Demo use only
23,Fogera,2014-01-12,90,39,213305.7612,129,2014,2,Simulated/Demo use only
23,Fogera,2014-01-19,76,28,213305.7612,104,2014,3,Simulated/Demo use only
23,Fogera,2014-01-26,62,24,213305.7612,86,2014,4,Simulated/Demo use only
23,Fogera,2014-02-02,51,25,213305.7612,76,2014,5,Simulated/Demo use only
23,Fogera,2014-02-09,46,19,213305.7612,65,2014,6,Simulated/Demo use only
23,Fogera,2014-02-16,42,19,213305.7612,61,2014,7,Simulated/Demo use only
23,Fogera,2014-02-23,42,20,213305.7612,62,2014,8,Simulated/Demo use only
23,Fogera,2014-03-02,45,23,213305.7612,68,2014,9,Simulated/Demo use only
23,Fogera,2014-03-09,46,24,213305.7612,70,2014,10,Simulated/Demo use only
23,Fogera,2014-03-16,44,30,213305.7612,74,2014,11,Simulated/Demo use only
23,Fogera,2014-03-23,52,32,213305.7612,84,2014,12,Simulated/Demo use only
23,Fogera,2014-03-30,57,35,213305.7612,92,2014,13,Simulated/Demo use only
23,Fogera,2014-04-06,64,35,213305.7612,99,2014,14,Simulated/Demo use only
23,Fogera,2014-04-13,67,34,213305.7612,101,2014,15,Simulated/Demo use only
23,Fogera,2014-04-20,79,31,213305.7612,110,2014,16,Simulated/Demo use only
23,Fogera,2014-04-27,89,36,213305.7612,125,2014,17,Simulated/Demo use only
23,Fogera,2014-05-04,106,43,213305.7612,149,2014,18,Simulated/Demo use only
23,Fogera,2014-05-11,133,44,213305.7612,177,2014,19,Simulated/Demo use only
23,Fogera,2014-05-18,160,50,213305.7612,210,2014,20,Simulated/Demo use only
23,Fogera,2014-05-25,183,61,213305.7612,244,2014,21,Simulated/Demo use only
23,Fogera,2014-06-01,201,64,213305.7612,265,2014,22,Simulated/Demo use only
23,Fogera,2014-06-08,205,70,213305.7612,275,2014,23,Simulated/Demo use only
23,Fogera,2014-06-15,203,73,213305.7612,276,2014,24,Simulated/Demo use only
23,Fogera,2014-06-22,190,71,213305.7612,261,2014,25,Simulated/Demo use only
23,Fogera,2014-06-29,175,66,213305.7612,241,2014,26,Simulated/Demo use only
23,Fogera,2014-07-06,154,63,213305.7612,217,2014,27,Simulated/Demo use only
23,Fogera,2014-07-13,137,56,247895,193,2014,28,Simulated/Demo use only
23,Fogera,2014-07-20,113,50,247895,163,2014,29,Simulated/Demo use only
23,Fogera,2014-07-27,96,46,247895,142,2014,30,Simulated/Demo use only
23,Fogera,2014-08-03,86,41,247895,127,2014,31,Simulated/Demo use only
23,Fogera,2014-08-10,78,34,247895,112,2014,32,Simulated/Demo use only
23,Fogera,2014-08-17,70,30,247895,100,2014,33,Simulated/Demo use only
23,Fogera,2014-08-24,71,30,247895,101,2014,34,Simulated/Demo use only
23,Fogera,2014-08-31,77,30,247895,107,2014,35,Simulated/Demo use only
23,Fogera,2014-09-07,73,27,247895,100,2014,36,Simulated/Demo use only
23,Fogera,2014-09-14,75,28,247895,103,2014,37,Simulated/Demo use only
23,Fogera,2014-09-21,80,27,247895,107,2014,38,Simulated/Demo use only
23,Fogera,2014-09-28,85,25,247895,110,2014,39,Simulated/Demo use only
23,Fogera,2014-10-05,90,28,247895,118,2014,40,Simulated/Demo use only
23,Fogera,2014-10-12,101,31,247895,132,2014,41,Simulated/Demo use only
23,Fogera,2014-10-19,114,40,247895,154,2014,42,Simulated/Demo use only
23,Fogera,2014-10-26,136,47,247895,183,2014,43,Simulated/Demo use only
23,Fogera,2014-11-02,160,52,247895,212,2014,44,Simulated/Demo use only
23,Fogera,2014-11-09,190,58,247895,248,2014,45,Simulated/Demo use only
23,Fogera,2014-11-16,215,66,247895,281,2014,46,Simulated/Demo use only
23,Fogera,2014-11-23,229,65,247895,294,2014,47,Simulated/Demo use only
23,Fogera,2014-11-30,237,66,247895,303,2014,48,Simulated/Demo use only
23,Fogera,2014-12-07,229,64,247895,293,2014,49,Simulated/Demo use only
23,Fogera,2014-12-14,211,58,247895,269,2014,50,Simulated/Demo use only
23,Fogera,2014-12-21,189,51,247895,240,2014,51,Simulated/Demo use only
23,Fogera,2014-12-28,181,44,247895,225,2014,52,Simulated/Demo use only
23,Fogera,2015-01-04,152,36,247895,188,2015,1,Simulated/Demo use only
23,Fogera,2015-01-11,134,31,247895,165,2015,2,Simulated/Demo use only
23,Fogera,2015-01-18,114,31,247895,145,2015,3,Simulated/Demo use only
23,Fogera,2015-01-25,101,29,247895,130,2015,4,Simulated/Demo use only
23,Fogera,2015-02-01,86,28,247895,114,2015,5,Simulated/Demo use only
23,Fogera,2015-02-08,87,31,247895,118,2015,6,Simulated/Demo use only
23,Fogera,2015-02-15,85,34,247895,119,2015,7,Simulated/Demo use only
23,Fogera,2015-02-22,92,39,247895,131,2015,8,Simulated/Demo use only
23,Fogera,2015-03-01,99,48,247895,147,2015,9,Simulated/Demo use only
23,Fogera,2015-03-08,102,52,247895,154,2015,10,Simulated/Demo use only
23,Fogera,2015-03-15,111,60,247895,171,2015,11,Simulated/Demo use only
23,Fogera,2015-03-22,125,68,247895,193,2015,12,Simulated/Demo use only
23,Fogera,2015-03-29,136,74,247895,210,2015,13,Simulated/Demo use only
23,Fogera,2015-04-05,158,76,247895,234,2015,14,Simulated/Demo use only
23,Fogera,2015-04-12,192,87,247895,279,2015,15,Simulated/Demo use only
23,Fogera,2015-04-19,226,98,247895,324,2015,16,Simulated/Demo use only
23,Fogera,2015-04-26,278,107,247895,385,2015,17,Simulated/Demo use only
23,Fogera,2015-05-03,347,129,247895,476,2015,18,Simulated/Demo use only
23,Fogera,2015-05-10,428,152,247895,580,2015,19,Simulated/Demo use only
23,Fogera,2015-05-17,531,178,247895,709,2015,20,Simulated/Demo use only
23,Fogera,2015-05-24,619,214,247895,833,2015,21,Simulated/Demo use only
23,Fogera,2015-05-31,696,253,247895,949,2015,22,Simulated/Demo use only
23,Fogera,2015-06-07,743,271,247895,1014,2015,23,Simulated/Demo use only
23,Fogera,2015-06-14,754,280,247895,1034,2015,24,Simulated/Demo use only
23,Fogera,2015-06-21,709,271,247895,980,2015,25,Simulated/Demo use only
23,Fogera,2015-06-28,656,250,247895,906,2015,26,Simulated/Demo use only
23,Fogera,2015-07-05,572,240,247895,812,2015,27,Simulated/Demo use only
23,Fogera,2015-07-12,500,222,252718.4531,722,2015,28,Simulated/Demo use only
23,Fogera,2015-07-19,422,203,252718.4531,625,2015,29,Simulated/Demo use only
23,Fogera,2015-07-26,361,192,252718.4531,553,2015,30,Simulated/Demo use only
23,Fogera,2015-08-02,309,170,252718.4531,479,2015,31,Simulated/Demo use only
23,Fogera,2015-08-09,273,140,252718.4531,413,2015,32,Simulated/Demo use only
23,Fogera,2015-08-16,235,126,252718.4531,361,2015,33,Simulated/Demo use only
23,Fogera,2015-08-23,209,121,252718.4531,330,2015,34,Simulated/Demo use only
23,Fogera,2015-08-30,203,117,252718.4531,320,2015,35,Simulated/Demo use only
23,Fogera,2015-09-06,196,121,252718.4531,317,2015,36,Simulated/Demo use only
23,Fogera,2015-09-13,205,120,252718.4531,325,2015,37,Simulated/Demo use only
23,Fogera,2015-09-20,217,118,252718.4531,335,2015,38,Simulated/Demo use only
23,Fogera,2015-09-27,240,114,252718.4531,354,2015,39,Simulated/Demo use only
23,Fogera,2015-10-04,255,117,252718.4531,372,2015,40,Simulated/Demo use only
23,Fogera,2015-10-11,289,124,252718.4531,413,2015,41,Simulated/Demo use only
23,Fogera,2015-10-18,328,137,252718.4531,465,2015,42,Simulated/Demo use only
23,Fogera,2015-10-25,380,152,252718.4531,532,2015,43,Simulated/Demo use only
23,Fogera,2015-11-01,433,171,252718.4531,604,2015,44,Simulated/Demo use only
23,Fogera,2015-11-08,484,190,252718.4531,674,2015,45,Simulated/Demo use only
