WID,woreda_name,obs_date,test_pf_tot,test_pv_only,pop_at_risk,mal_case,iso_year,iso_week,pfm_inc,pv_inc,data_source
23,Fogera,2012-07-15,696,118,209534.1466,814,2012,28,3.321654304530429,0.5631540343887796,Simulated/Demo use only
23,Fogera,2012-07-22,656,122,209534.1466,778,2012,29,3.1307546318562665,0.5822440016561959,Simulated/Demo use only
23,Fogera,2012-07-29,551,107,209534.1466,658,2012,30,2.6296429910865897,0.510656624403385,Simulated/Demo use only
23,Fogera,2012-08-05,493,106,209534.1466,599,2012,31,2.352838465709054,0.5058841325865309,Simulated/Demo use only
23,Fogera,2012-08-12,430,106,209534.1466,536,2012,32,2.052171481247248,0.5058841325865309,Simulated/Demo use only
23,Fogera,2012-08-19,405,107,209534.1466,512,2012,33,1.932859185825896,0.510656624403385,Simulated/Demo use only
23,Fogera,2012-08-26,384,111,209534.1466,495,2012,34,1.832636857671961,0.5297465916708012,Simulated/Demo use only
23,Fogera,2012-09-02,393,117,209534.1466,510,2012,35,1.8755892840236474,0.5583815425719256,Simulated/Demo use only
23,Fogera,2012-09-09,411,123,209534.1466,534,2012,36,1.9614941367270207,0.58701649347305,Simulated/Demo use only
23,Fogera,2012-09-16,469,135,209534.1466,604,2012,37,2.238298662104556,0.6442863952752987,Simulated/Demo use only
23,Fogera,2012-09-23,545,147,209534.1466,692,2012,38,2.6010080401854654,0.7015562970775475,Simulated/Demo use only
23,Fogera,2012-09-30,633,158,209534.1466,791,2012,39,3.020987320068623,0.7540537070629423,Simulated/Demo use only
23,Fogera,2012-10-07,748,165,209534.1466,913,2012,40,3.5698238790068406,0.7874611497809206,Simulated/Demo use only
23,Fogera,2012-10-14,898,164,209534.1466,1062,2012,41,4.28569765153495,0.7826886579640666,Simulated/Demo use only
23,Fogera,2012-10-21,1098,163,209534.1466,1261,2012,42,5.240196014905763,0.7779161661472126,Simulated/Demo use only
23,Fogera,2012-10-28,1288,173,209534.1466,1461,2012,43,6.146969460108036,0.8256410843157531,Simulated/Demo use only
23,Fogera,2012-11-04,1477,183,209534.1466,1660,2012,44,7.048970413493453,0.8733660024842939,Simulated/Demo use only
23,Fogera,2012-11-11,1647,200,209534.1466,1847,2012,45,7.860294022358644,0.954498363370813,Simulated/Demo use only
23,Fogera,2012-11-18,1751,227,209534.1466,1978,2012,46,8.356633171311467,1.0833556424258728,Simulated/Demo use only
23,Fogera,2012-11-25,1723,242,209534.1466,1965,2012,47,8.223003400439554,1.1549430196786836,Simulated/Demo use only
23,Fogera,2012-12-02,1621,247,209534.1466,1868,2012,48,7.736209235120438,1.178805478762954,Simulated/Demo use only
23,Fogera,2012-12-09,1481,244,209534.1466,1725,2012,49,7.06806038076087,1.1644880033123919,Simulated/Demo use only
23,Fogera,2012-12-16,1262,234,209534.1466,1496,2012,50,6.0228846728698295,1.1167630851438513,Simulated/Demo use only
23,Fogera,2012-12-23,1041,216,209534.1466,1257,2012,51,4.968163981345082,1.030858232440478,Simulated/Demo use only
23,Fogera,2012-12-30,843,198,209534.1466,1041,2012,52,4.0232106016079765,0.9449533797371048,Simulated/Demo use only
23,Fogera,2013-01-06,691,188,209534.1466,879,2013,1,3.297791845446159,0.8972284615685642,Simulated/Demo use only
23,Fogera,2013-01-13,558,174,209534.1466,732,2013,2,2.6630504338045684,0.8304135761326072,Simulated/Demo use only
23,Fogera,2013-01-20,475,165,209534.1466,640,2013,3,2.266933613005681,0.7874611497809206,Simulated/Demo use only
23,Fogera,2013-01-27,411,154,209534.1466,565,2013,4,1.9614941367270207,0.734963739795526,Simulated/Demo use only
23,Fogera,2013-02-03,363,147,209534.1466,510,2013,5,1.7324145295180255,0.7015562970775475,Simulated/Demo use only
23,Fogera,2013-02-10,337,136,209534.1466,473,2013,6,1.6083297422798197,0.6490588870921528,Simulated/Demo use only
23,Fogera,2013-02-17,318,133,209534.1466,451,2013,7,1.5176523977595926,0.6347414116415906,Simulated/Demo use only
23,Fogera,2013-02-24,298,129,209534.1466,427,2013,8,1.4222025614225113,0.6156514443741743,Simulated/Demo use only
23,Fogera,2013-03-03,293,129,209534.1466,422,2013,9,1.3983401023382411,0.6156514443741743,Simulated/Demo use only
23,Fogera,2013-03-10,309,126,209534.1466,435,2013,10,1.474699971407906,0.6013339689236121,Simulated/Demo use only
23,Fogera,2013-03-17,325,123,209534.1466,448,2013,11,1.551059840477571,0.58701649347305,Simulated/Demo use only
23,Fogera,2013-03-24,352,122,209534.1466,474,2013,12,1.6799171195326308,0.5822440016561959,Simulated/Demo use only
23,Fogera,2013-03-31,396,115,209534.1466,511,2013,13,1.8899067594742096,0.5488365589382175,Simulated/Demo use only
23,Fogera,2013-04-07,436,109,209534.1466,545,2013,14,2.0808064321483726,0.5202016080370931,Simulated/Demo use only
23,Fogera,2013-04-14,478,100,209534.1466,578,2013,15,2.281251088456243,0.4772491816854065,Simulated/Demo use only
23,Fogera,2013-04-21,526,97,209534.1466,623,2013,16,2.510330695665238,0.4629317062348443,Simulated/Demo use only
23,Fogera,2013-04-28,588,94,209534.1466,682,2013,17,2.80622518831019,0.4486142307842821,Simulated/Demo use only
23,Fogera,2013-05-05,668,99,209534.1466,767,2013,18,3.188024533658515,0.4724766898685524,Simulated/Demo use only
23,Fogera,2013-05-12,752,109,209534.1466,861,2013,19,3.5889138462742567,0.5202016080370931,Simulated/Demo use only
23,Fogera,2013-05-19,869,126,209534.1466,995,2013,20,4.1472953888461825,0.6013339689236121,Simulated/Demo use only
23,Fogera,2013-05-26,958,132,209534.1466,1090,2013,21,4.5720471605461945,0.6299689198247365,Simulated/Demo use only
23,Fogera,2013-06-02,1015,144,209534.1466,1159,2013,22,4.844079194106876,0.6872388216269854,Simulated/Demo use only
23,Fogera,2013-06-09,1041,150,209534.1466,1191,2013,23,4.968163981345082,0.7158737725281097,Simulated/Demo use only
23,Fogera,2013-06-16,1010,144,209534.1466,1154,2013,24,4.820216735022606,0.6872388216269854,Simulated/Demo use only
23,Fogera,2013-06-23,914,136,209534.1466,1050,2013,25,4.362057520604615,0.6490588870921528,Simulated/Demo use only
23,Fogera,2013-06-30,805,133,209534.1466,938,2013,26,3.8418559125675222,0.6347414116415906,Simulated/Demo use only
23,Fogera,2013-07-07,670,116,209534.1466,786,2013,27,3.1975695172922234,0.5536090507550715,Simulated/Demo use only
23,Fogera,2013-07-14,532,102,213305.7612,634,2013,28,2.494072344821411,0.47818680295448107,Simulated/Demo use only
23,Fogera,2013-07-21,415,96,213305.7612,511,2013,29,1.9455639531971534,0.45005816748657046,Simulated/Demo use only
23,Fogera,2013-07-28,317,82,213305.7612,399,2013,30,1.486129573887946,0.38442468472811225,Simulated/Demo use only
23,Fogera,2013-08-04,243,65,213305.7612,308,2013,31,1.1392097364503813,0.3047268842356987,Simulated/Demo use only
23,Fogera,2013-08-11,196,58,213305.7612,254,2013,32,0.9188687586184145,0.27191014285646964,Simulated/Demo use only
23,Fogera,2013-08-18,155,51,213305.7612,206,2013,33,0.7266564162543585,0.23909340147724054,Simulated/Demo use only
23,Fogera,2013-08-25,137,39,213305.7612,176,2013,34,0.6422705098506266,0.18283613054141926,Simulated/Demo use only
23,Fogera,2013-09-01,125,34,213305.7612,159,2013,35,0.5860132389148053,0.15939560098482702,Simulated/Demo use only
23,Fogera,2013-09-08,110,35,213305.7612,145,2013,36,0.5156916502450286,0.16408370689614546,Simulated/Demo use only
23,Fogera,2013-09-15,112,33,213305.7612,145,2013,37,0.5250678620676654,0.1547074950735086,Simulated/Demo use only
23,Fogera,2013-09-22,119,34,213305.7612,153,2013,38,0.5578846034468946,0.15939560098482702,Simulated/Demo use only
23,Fogera,2013-09-29,127,39,213305.7612,166,2013,39,0.5953894507374422,0.18283613054141926,Simulated/Demo use only
23,Fogera,2013-10-06,140,44,213305.7612,184,2013,40,0.6563348275845818,0.20627666009801143,Simulated/Demo use only
23,Fogera,2013-10-13,160,44,213305.7612,204,2013,41,0.7500969458109508,0.20627666009801143,Simulated/Demo use only
23,Fogera,2013-10-20,175,45,213305.7612,220,2013,42,0.8204185344807273,0.2109647660093299,Simulated/Demo use only
23,Fogera,2013-10-27,193,46,213305.7612,239,2013,43,0.9048044408844593,0.21565287192064833,Simulated/Demo use only
23,Fogera,2013-11-03,203,43,213305.7612,246,2013,44,0.9516854999976437,0.201588554186693,Simulated/Demo use only
23,Fogera,2013-11-10,218,43,213305.7612,261,2013,45,1.0220070886674204,0.201588554186693,Simulated/Demo use only
23,Fogera,2013-11-17,221,49,213305.7612,270,2013,46,1.0360714064013756,0.22971718965460364,Simulated/Demo use only
23,Fogera,2013-11-24,219,54,213305.7612,273,2013,47,1.0266951945787388,0.25315771921119584,Simulated/Demo use only
23,Fogera,2013-12-01,204,55,213305.7612,259,2013,48,0.9563736059089621,0.2578458251225143,Simulated/Demo use only
23,Fogera,2013-12-08,195,57,213305.7612,252,2013,49,0.9141806527070961,0.26722203694515123,Simulated/Demo use only
23,Fogera,2013-12-15,170,61,213305.7612,231,2013,50,0.7969780049241352,0.2859744605904249,Simulated/Demo use only
23,Fogera,2013-12-22,146,57,213305.7612,203,2013,51,0.6844634630524926,0.26722203694515123,Simulated/Demo use only
23,Fogera,2013-12-29,128,46,213305.7612,174,2013,52,0.6000775566487606,0.21565287192064833,Simulated/Demo use only
23,Fogera,2014-01-05,109,45,213305.7612,154,2014,1,0.5110035443337102,0.2109647660093299,Simulated/Demo use only
23,Fogera,2014-01-12,90,39,213305.7612,129,2014,2,0.4219295320186598,0.18283613054141926,Simulated/Demo use only
23,Fogera,2014-01-19,76,28,213305.7612,104,2014,3,0.3562960492602016,0.13126696551691636,Simulated/Demo use only
23,Fogera,2014-01-26,62,24,213305.7612,86,2014,4,0.29066256650174344,0.11251454187164261,Simulated/Demo use only
23,Fogera,2014-02-02,51,25,213305.7612,76,2014,5,0.23909340147724054,0.11720264778296105,Simulated/Demo use only
23,Fogera,2014-02-09,46,19,213305.7612,65,2014,6,0.21565287192064833,0.0890740123150504,Simulated/Demo use only
23,Fogera,2014-02-16,42,19,213305.7612,61,2014,7,0.19690044827537456,0.0890740123150504,Simulated/Demo use only
23,Fogera,2014-02-23,42,20,213305.7612,62,2014,8,0.19690044827537456,0.09376211822636885,Simulated/Demo use only
23,Fogera,2014-03-02,45,23,213305.7612,68,2014,9,0.2109647660093299,0.10782643596032417,Simulated/Demo use only
23,Fogera,2014-03-09,46,24,213305.7612,70,2014,10,0.21565287192064833,0.11251454187164261,Simulated/Demo use only
23,Fogera,2014-03-16,44,30,213305.7612,74,2014,11,0.20627666009801143,0.14064317733955325,Simulated/Demo use only
23,Fogera,2014-03-23,52,32,213305.7612,84,2014,12,0.24378150738855897,0.15001938916219015,Simulated/Demo use only
23,Fogera,2014-03-30,57,35,213305.7612,92,2014,13,0.26722203694515123,0.16408370689614546,Simulated/Demo use only
23,Fogera,2014-04-06,64,35,213305.7612,99,2014,14,0.3000387783243803,0.16408370689614546,Simulated/Demo use only
