WID,woreda_name,obs_date,test_pf_tot,test_pv_only,pop_at_risk,mal_case,iso_year,iso_week,data_source
23,Fogera,2017-01-08,49,54,257267.3853,103,2017,1,Simulated/Demo use only
23,Fogera,2017-01-15,40,42,257267.3853,82,2017,2,Simulated/Demo use only
23,Fogera,2017-01-22,37,31,257267.3853,68,2017,3,Simulated/Demo use only
23,Fogera,2017-01-29,37,28,257267.3853,65,2017,4,Simulated/Demo use only
23,Fogera,2017-02-05,33,24,257267.3853,57,2017,5,Simulated/Demo use only
23,Fogera,2017-02-12,33,25,257267.3853,58,2017,6,Simulated/Demo use only
23,Fogera,2017-02-19,30,21,257267.3853,51,2017,7,Simulated/Demo use only
23,Fogera,2017-02-26,29,27,257267.3853,56,2017,8,Simulated/Demo use only
23,Fogera,2017-03-05,27,28,257267.3853,55,2017,9,Simulated/Demo use only
23,Fogera,2017-03-12,25,29,257267.3853,54,2017,10,Simulated/Demo use only
23,Fogera,2017-03-19,24,27,257267.3853,51,2017,11,Simulated/Demo use only
23,Fogera,2017-03-26,23,31,257267.3853,54,2017,12,Simulated/Demo use only
23,Fogera,2017-04-02,25,28,257267.3853,53,2017,13,Simulated/Demo use only
23,Fogera,2017-04-09,27,28,257267.3853,55,2017,14,Simulated/Demo use only
23,Fogera,2017-04-16,30,27,257267.3853,57,2017,15,Simulated/Demo use only
23,Fogera,2017-04-23,36,30,257267.3853,66,2017,16,Simulated/Demo use only
23,Fogera,2017-04-30,43,33,257267.3853,76,2017,17,Simulated/Demo use only
23,Fogera,2017-05-07,50,36,257267.3853,86,2017,18,Simulated/Demo use only
23,Fogera,2017-05-14,59,40,257267.3853,99,2017,19,Simulated/Demo use only
23,Fogera,2017-05-21,65,46,257267.3853,111,2017,20,Simulated/Demo use only
23,Fogera,2017-05-28,69,47,257267.3853,116,2017,21,Simulated/Demo use only
23,Fogera,2017-06-04,71,47,257267.3853,118,2017,22,Simulated/Demo use only
23,Fogera,2017-06-11,70,44,257267.3853,114,2017,23,Simulated/Demo use only
23,Fogera,2017-06-18,65,35,257267.3853,100,2017,24,Simulated/Demo use only
23,Fogera,2017-06-25,59,29,257267.3853,88,2017,25,Simulated/Demo use only
23,Fogera,2017-07-02,51,21,257267.3853,72,2017,26,Simulated/Demo use only
23,Fogera,2017-07-09,44,13,257267.3853,57,2017,27,Simulated/Demo use only
23,Fogera,2017-07-16,35,9,261898.1982,44,2017,28,Simulated/Demo use only
23,Fogera,2017-07-23,27,10,261898.1982,37,2017,29,Simulated/Demo use only
23,Fogera,2017-07-30,22,10,261898.1982,32,2017,30,Simulated/Demo use only
23,Fogera,2017-08-06,17,10,261898.1982,27,2017,31,Simulated/Demo use only
23,Fogera,2017-08-13,12,9,261898.1982,21,2017,32,Simulated/Demo use only
23,Fogera,2017-08-20,12,10,261898.1982,22,2017,33,Simulated/Demo use only
23,Fogera,2017-08-27,11,8,261898.1982,19,2017,34,Simulated/Demo use only
23,Fogera,2017-09-03,10,6,261898.1982,16,2017,35,Simulated/Demo use only
23,Fogera,2017-09-10,11,5,261898.1982,16,2017,36,Simulated/Demo use only
23,Fogera,2017-09-17,12,5,261898.1982,17,2017,37,Simulated/Demo use only
23,Fogera,2017-09-24,11,4,261898.1982,15,2017,38,Simulated/Demo use only
23,Fogera,2017-10-01,10,5,261898.1982,15,2017,39,Simulated/Demo use only
23,Fogera,2017-10-08,14,5,261898.1982,19,2017,40,Simulated/Demo use only
23,Fogera,2017-10-15,15,6,261898.1982,21,2017,41,Simulated/Demo use only
23,Fogera,2017-10-22,16,6,261898.1982,22,2017,42,Simulated/Demo use only
23,Fogera,2017-10-29,18,6,261898.1982,24,2017,43,Simulated/Demo use only
23,Fogera,2017-11-05,20,5,261898.1982,25,2017,44,Simulated/Demo use only
23,Fogera,2017-11-12,18,4,261898.1982,22,2017,45,Simulated/Demo use only
23,Fogera,2017-11-19,18,4,261898.1982,22,2017,46,Simulated/Demo use only
23,Fogera,2017-11-26,17,3,261898.1982,20,2017,47,Simulated/Demo use only
23,Fogera,2017-12-03,18,3,261898.1982,21,2017,48,Simulated/Demo use only
23,Fogera,2017-12-10,16,2,261898.1982,18,2017,49,Simulated/Demo use only
23,Fogera,2017-12-17,15,2,261898.1982,17,2017,50,Simulated/Demo use only
23,Fogera,2017-12-24,13,2,261898.1982,15,2017,51,Simulated/Demo use only
23,Fogera,2017-12-31,10,2,261898.1982,12,2017,52,Simulated/Demo use only
