WID,woreda_name,environ_var_code,obs_date,obs_value
121,Abargelie,ndwi6,2016-01-01,-0.08590597764703332
121,Abargelie,ndwi6,2016-01-02,-0.0879156809842147
121,Abargelie,ndwi6,2016-01-03,-0.0876040842618042
121,Abargelie,ndwi6,2016-01-04,-0.08783072362064472
121,Abargelie,ndwi6,2016-01-05,-0.088832111080642
121,Abargelie,ndwi6,2016-01-06,-0.0878581762404209
121,Abargelie,ndwi6,2016-01-07,-0.08854300431875496
121,Abargelie,ndwi6,2016-01-08,-0.08865319611420988
121,Abargelie,ndwi6,2016-01-09,-0.0905771932821796
121,Abargelie,ndwi6,2016-01-10,-0.09120723499574988
121,Abargelie,ndwi6,2016-01-11,-0.09222114565931218
121,Abargelie,ndwi6,2016-01-12,-0.09166097597914057
121,Abargelie,ndwi6,2016-01-13,-0.09122404399228787
121,Abargelie,ndwi6,2016-01-14,-0.0914831905014309
121,Abargelie,ndwi6,2016-01-15,-0.09212549639317233
121,Abargelie,ndwi6,2016-01-16,-0.09293217931501653
121,Abargelie,ndwi6,2016-01-17,-0.09410789630415987
121,Abargelie,ndwi6,2016-01-18,-0.09391578509785066
121,Abargelie,ndwi6,2016-01-19,-0.09432877072148314
121,Abargelie,ndwi6,2016-01-20,-0.09326067402862546
121,Abargelie,ndwi6,2016-01-21,-0.09320440671520598
121,Abargelie,ndwi6,2016-01-22,-0.09294556990681242
121,Abargelie,ndwi6,2016-01-23,-0.09240668791218555
121,Abargelie,ndwi6,2016-01-24,-0.09322209114318639
121,Abargelie,ndwi6,2016-01-25,-0.09163253292971875
121,Abargelie,ndwi6,2016-01-26,-0.09149657535270994
121,Abargelie,ndwi6,2016-01-27,-0.09042995964004459
121,Abargelie,ndwi6,2016-01-28,-0.09127098377647236
121,Abargelie,ndwi6,2016-01-29,-0.09167915592759864
121,Abargelie,ndwi6,2016-01-30,-0.0920306112030214
121,Abargelie,ndwi6,2016-01-31,-0.09227718960686505
121,Abargelie,ndwi6,2016-02-01,-0.09134949026637908
121,Abargelie,ndwi6,2016-02-02,-0.0916490703933047
121,Abargelie,ndwi6,2016-02-03,-0.09149725192414446
121,Abargelie,ndwi6,2016-02-04,-0.09138420005197162
121,Abargelie,ndwi6,2016-02-05,-0.09177686159145293
121,Abargelie,ndwi6,2016-02-06,-0.09218389202959805
121,Abargelie,ndwi6,2016-02-07,-0.09225965088596813
121,Abargelie,ndwi6,2016-02-08,-0.09281293927594837
121,Abargelie,ndwi6,2016-02-09,-0.09268091335369566
121,Abargelie,ndwi6,2016-02-10,-0.09224985387413796
121,Abargelie,ndwi6,2016-02-11,-0.09177947848597735
121,Abargelie,ndwi6,2016-02-12,-0.09206395669782548
121,Abargelie,ndwi6,2016-02-13,-0.09227446190208355
121,Abargelie,ndwi6,2016-02-14,-0.09200837861589162
121,Abargelie,ndwi6,2016-02-15,-0.09140158320145537
121,Abargelie,ndwi6,2016-02-16,-0.09102337766154033
121,Abargelie,ndwi6,2016-02-17,-0.09113119341450614
121,Abargelie,ndwi6,2016-02-18,-0.09174232913056572
121,Abargelie,ndwi6,2016-02-19,-0.09184926585024789
121,Abargelie,ndwi6,2016-02-20,-0.09137754293018205
121,Abargelie,ndwi6,2016-02-21,-0.09217660166475096
121,Abargelie,ndwi6,2016-02-22,-0.09271046470334773
121,Abargelie,ndwi6,2016-02-23,-0.09401368850161243
121,Abargelie,ndwi6,2016-02-24,-0.09498781741274057
121,Abargelie,ndwi6,2016-02-25,-0.09505207989043604
121,Abargelie,ndwi6,2016-02-26,-0.09612950527065434
121,Abargelie,ndwi6,2016-02-27,-0.09530783023322413
121,Abargelie,ndwi6,2016-02-28,-0.09594664782879021
121,Abargelie,ndwi6,2016-02-29,-0.09485448235673653
121,Abargelie,ndwi6,2016-03-01,-0.09583312741805856
121,Abargelie,ndwi6,2016-03-02,-0.0965428271471414
121,Abargelie,ndwi6,2016-03-03,-0.09659981296730077
121,Abargelie,ndwi6,2016-03-04,-0.094973326238767
121,Abargelie,ndwi6,2016-03-05,-0.0949618469340084
121,Abargelie,ndwi6,2016-03-06,-0.09507749600023416
121,Abargelie,ndwi6,2016-03-07,-0.09518445420384644
121,Abargelie,ndwi6,2016-03-08,-0.09529324489540347
121,Abargelie,ndwi6,2016-03-09,-0.09521349976875175
121,Abargelie,ndwi6,2016-03-10,-0.09473048068623387
121,Abargelie,ndwi6,2016-03-11,-0.09508068535561164
121,Abargelie,ndwi6,2016-03-12,-0.0942434924824642
121,Abargelie,ndwi6,2016-03-13,-0.09359276186558181
121,Abargelie,ndwi6,2016-03-14,-0.09380317641236792
121,Abargelie,ndwi6,2016-03-15,-0.09433294228355148
121,Abargelie,ndwi6,2016-03-16,-0.09348444372356327
121,Abargelie,ndwi6,2016-03-17,-0.09359205277508502
121,Abargelie,ndwi6,2016-03-18,-0.09392101667642716
121,Abargelie,ndwi6,2016-03-19,-0.0941687108547453
121,Abargelie,ndwi6,2016-03-20,-0.0941841049370399
121,Abargelie,ndwi6,2016-03-21,-0.09448340353995184
121,Abargelie,ndwi6,2016-03-22,-0.09529844184189652
121,Abargelie,ndwi6,2016-03-23,-0.09434243436379658
121,Abargelie,ndwi6,2016-03-24,-0.09416059610629485
121,Abargelie,ndwi6,2016-03-25,-0.09361805093038329
121,Abargelie,ndwi6,2016-03-26,-0.09413359792227273
121,Abargelie,ndwi6,2016-03-27,-0.09422847535822458
121,Abargelie,ndwi6,2016-03-28,-0.09431445401215773
121,Abargelie,ndwi6,2016-03-29,-0.09383482394746984
121,Abargelie,ndwi6,2016-03-30,-0.09367481375118554
121,Abargelie,ndwi6,2016-03-31,-0.09403069501929233
121,Abargelie,ndwi6,2016-04-01,-0.09479637814668178
121,Abargelie,ndwi6,2016-04-02,-0.09584732568468846
121,Abargelie,ndwi6,2016-04-03,-0.09652560756321513
121,Abargelie,ndwi6,2016-04-04,-0.09755925277181061
121,Abargelie,ndwi6,2016-04-05,-0.09829584394014977
121,Abargelie,ndwi6,2016-04-06,-0.09795504411724552
121,Abargelie,ndwi6,2016-04-07,-0.09842879444919178
121,Abargelie,ndwi6,2016-04-08,-0.09897159578280985
121,Abargelie,ndwi6,2016-04-09,-0.09836742542708911
121,Abargelie,ndwi6,2016-04-10,-0.09770405877178012
121,Abargelie,ndwi6,2016-04-11,-0.0962760408608071
121,Abargelie,ndwi6,2016-04-12,-0.09537141990088115
121,Abargelie,ndwi6,2016-04-13,-0.0957211054375562
121,Abargelie,ndwi6,2016-04-14,-0.0946268213880676
121,Abargelie,ndwi6,2016-04-15,-0.09449897713986544
121,Abargelie,ndwi6,2016-04-16,-0.09097058030942802
121,Abargelie,ndwi6,2016-04-17,-0.09112259540391492
121,Abargelie,ndwi6,2016-04-18,-0.09117055672343125
121,Abargelie,ndwi6,2016-04-19,-0.09120425061200128
121,Abargelie,ndwi6,2016-04-20,-0.09125895805088156
121,Abargelie,ndwi6,2016-04-21,-0.09178082504058696
121,Abargelie,ndwi6,2016-04-22,-0.09189213456935358
121,Abargelie,ndwi6,2016-04-23,-0.09165803670542551
121,Abargelie,ndwi6,2016-04-24,-0.09192448235057522
121,Abargelie,ndwi6,2016-04-25,-0.09273199106370865
121,Abargelie,ndwi6,2016-04-26,-0.09375868108036221
121,Abargelie,ndwi6,2016-04-27,-0.09463508978284187
121,Abargelie,ndwi6,2016-04-28,-0.09183567979934115
121,Abargelie,ndwi6,2016-04-29,-0.0913748865726786
121,Abargelie,ndwi6,2016-04-30,-0.09214248129299649
121,Abargelie,ndwi6,2016-05-01,-0.09312141143319104
121,Abargelie,ndwi6,2016-05-02,-0.07683336668777173
121,Abargelie,ndwi6,2016-05-03,-0.07808349643480014
121,Abargelie,ndwi6,2016-05-04,-0.0719324789073483
121,Abargelie,ndwi6,2016-05-05,-0.06959593115777919
121,Abargelie,ndwi6,2016-05-06,-0.07559765485331052
121,Abargelie,ndwi6,2016-05-07,-0.0711107542515617
121,Abargelie,ndwi6,2016-05-08,-0.07128410633045928
121,Abargelie,ndwi6,2016-05-09,-0.06451765430674455
121,Abargelie,ndwi6,2016-05-10,-0.06474711056567255
121,Abargelie,ndwi6,2016-05-11,-0.06251449182808687
121,Abargelie,ndwi6,2016-05-12,-0.06267470415724895
121,Abargelie,ndwi6,2016-05-13,-0.06284108318328047
121,Abargelie,ndwi6,2016-05-14,-0.06320816385329253
121,Abargelie,ndwi6,2016-05-15,-0.06411620780558495
121,Abargelie,ndwi6,2016-05-16,-0.06564755121817172
121,Abargelie,ndwi6,2016-05-17,-0.06533653510962716
121,Abargelie,ndwi6,2016-05-18,-0.06470510945277898
121,Abargelie,ndwi6,2016-05-19,-0.06462741890244797
121,Abargelie,ndwi6,2016-05-20,-0.0646792961596968
121,Abargelie,ndwi6,2016-05-21,-0.06485530631277532
121,Abargelie,ndwi6,2016-05-22,-0.06563627761474569
121,Abargelie,ndwi6,2016-05-23,-0.06797031857628437
121,Abargelie,ndwi6,2016-05-24,-0.06816692158278083
121,Abargelie,ndwi6,2016-05-25,-0.07058473060829389
121,Abargelie,ndwi6,2016-05-26,-0.07040082008649227
121,Abargelie,ndwi6,2016-05-27,-0.07108212093779921
121,Abargelie,ndwi6,2016-05-28,-0.07116448982275629
121,Abargelie,ndwi6,2016-05-29,-0.07109554091587504
121,Abargelie,ndwi6,2016-05-30,-0.07169577500291688
121,Abargelie,ndwi6,2016-05-31,-0.07049820022244054
121,Abargelie,ndwi6,2016-06-01,-0.07331468771072404
121,Abargelie,ndwi6,2016-06-02,-0.07197075936821326
121,Abargelie,ndwi6,2016-06-03,-0.07565173088199391
121,Abargelie,ndwi6,2016-06-04,-0.07545105231841356
121,Abargelie,ndwi6,2016-06-05,-0.07441363362642762
121,Abargelie,ndwi6,2016-06-06,-0.07501277818306226
121,Abargelie,ndwi6,2016-06-07,-0.07504904217954024
121,Abargelie,ndwi6,2016-06-08,-0.07677410824862381
121,Abargelie,ndwi6,2016-06-09,-0.07692345086445716
121,Abargelie,ndwi6,2016-06-10,-0.07756768094317178
121,Abargelie,ndwi6,2016-06-11,-0.07740563495707935
121,Abargelie,ndwi6,2016-06-12,-0.07742723475539051
121,Abargelie,ndwi6,2016-06-13,-0.0778652615838031
121,Abargelie,ndwi6,2016-06-14,-0.07753094939141307
121,Abargelie,ndwi6,2016-06-15,-0.07746768506683427
121,Abargelie,ndwi6,2016-06-16,-0.07751633161168563
121,Abargelie,ndwi6,2016-06-17,-0.07623197911274157
121,Abargelie,ndwi6,2016-06-18,-0.07611049270340577
121,Abargelie,ndwi6,2016-06-19,-0.07334145275752377
121,Abargelie,ndwi6,2016-06-20,-0.0744309774383329
121,Abargelie,ndwi6,2016-06-21,-0.07384998723588947
121,Abargelie,ndwi6,2016-06-22,-0.07619249164121175
121,Abargelie,ndwi6,2016-06-23,-0.0761373306191914
121,Abargelie,ndwi6,2016-06-24,-0.07156863949750635
121,Abargelie,ndwi6,2016-06-25,-0.07152799106411793
121,Abargelie,ndwi6,2016-06-26,-0.07591952997863237
121,Abargelie,ndwi6,2016-06-27,-0.07488311729480072
121,Abargelie,ndwi6,2016-06-28,-0.0717375335304153
121,Abargelie,ndwi6,2016-06-29,-0.0690332220547856
121,Abargelie,ndwi6,2016-06-30,-0.06904809942785718
121,Abargelie,ndwi6,2016-07-01,-0.0679671802950437
121,Abargelie,ndwi6,2016-07-02,-0.06841163119469718
121,Abargelie,ndwi6,2016-07-03,-0.06633890535285379
121,Abargelie,ndwi6,2016-07-04,-0.06631646647669712
121,Abargelie,ndwi6,2016-07-05,-0.0696335940706618
121,Abargelie,ndwi6,2016-07-06,-0.06898837993902128
121,Abargelie,ndwi6,2016-07-07,-0.07467110204789797
121,Abargelie,ndwi6,2016-07-08,-0.06928339706275793
121,Abargelie,ndwi6,2016-07-09,-0.0649469788977474
121,Abargelie,ndwi6,2016-07-10,-0.0653101365005732
121,Abargelie,ndwi6,2016-07-11,-0.06517142129303127
