woreda,zone,epi_year,epi_week,popul_tot,popul_malar,mal_inp,mal_outp,rdt_done,rdt_pf_tot,rdt_pv_only,bf_done,bf_pf_tot,bf_pv_only
Abargelie,Waghimira,2014,1,48789.74227,48789.74227,0,114,121,45,24,95,45,0
Abargelie,Waghimira,2014,2,48789.74227,48789.74227,0,77,84,32,10,72,33,2
Abargelie,Waghimira,2014,3,48789.74227,48789.74227,0,93,116,47,9,74,35,2
Abargelie,Waghimira,2014,4,48789.74227,48789.74227,0,72,53,26,8,86,36,1
Abargelie,Waghimira,2014,5,48789.74227,48789.74227,0,83,98,25,15,89,42,1
Abargelie,Waghimira,2014,6,48789.74227,48789.74227,0,67,57,20,4,97,42,1
Abargelie,Waghimira,2014,7,48789.74227,48789.74227,0,92,96,33,14,103,42,3
Abargelie,Waghimira,2014,8,48789.74227,48789.74227,0,96,130,40,10,84,41,5
Abargelie,Waghimira,2014,9,48789.74227,48789.74227,0,89,170,33,11,94,41,4
Abargelie,Waghimira,2014,10,48789.74227,48789.74227,0,65,89,19,15,85,26,5
Abargelie,Waghimira,2014,11,48789.74227,48789.74227,0,59,76,20,9,86,25,5
Abargelie,Waghimira,2014,12,48789.74227,48789.74227,0,68,80,12,9,88,46,1
Abargelie,Waghimira,2014,13,48789.74227,48789.74227,0,61,44,14,5,122,30,12
Abargelie,Waghimira,2014,14,48789.74227,48789.74227,0,55,48,17,6,88,26,6
Abargelie,Waghimira,2014,15,48789.74227,48789.74227,0,37,48,12,8,88,13,4
Abargelie,Waghimira,2014,16,48789.74227,48789.74227,0,26,65,16,6,40,2,2
Abargelie,Waghimira,2014,17,48789.74227,48789.74227,0,22,34,4,6,51,10,2
Abargelie,Waghimira,2014,18,48789.74227,48789.74227,0,34,47,10,1,58,18,5
Abargelie,Waghimira,2014,19,48789.74227,48789.74227,0,16,54,5,4,18,5,2
Abargelie,Waghimira,2014,20,48789.74227,48789.74227,0,49,141,26,6,46,13,4
Abargelie,Waghimira,2014,21,48789.74227,48789.74227,0,18,47,4,5,33,7,2
Abargelie,Waghimira,2014,22,48789.74227,48789.74227,0,45,55,17,5,60,22,1
Abargelie,Waghimira,2014,23,48789.74227,48789.74227,0,64,72,22,6,69,36,0
Abargelie,Waghimira,2014,24,48789.74227,48789.74227,0,88,107,41,6,80,39,2
Abargelie,Waghimira,2014,25,48789.74227,48789.74227,0,73,95,38,4,60,31,0
Abargelie,Waghimira,2014,26,48789.74227,48789.74227,0,72,116,37,11,46,24,0
Abargelie,Waghimira,2014,27,48789.74227,48789.74227,0,112,108,49,16,83,43,4
Abargelie,Waghimira,2014,28,49667.95763,49667.95763,0,85,76,32,8,91,44,1
Abargelie,Waghimira,2014,29,49667.95763,49667.95763,0,89,68,31,8,86,47,3
Abargelie,Waghimira,2014,30,49667.95763,49667.95763,0,99,84,28,7,102,57,7
Abargelie,Waghimira,2014,31,49667.95763,49667.95763,0,103,99,49,10,82,41,3
Abargelie,Waghimira,2014,32,49667.95763,49667.95763,0,84,118,20,21,89,37,6
Abargelie,Waghimira,2014,33,49667.95763,49667.95763,0,93,113,32,16,98,40,5
Abargelie,Waghimira,2014,34,49667.95763,49667.95763,0,89,130,28,13,106,42,6
Abargelie,Waghimira,2014,35,49667.95763,49667.95763,0,111,107,34,11,128,60,6
Abargelie,Waghimira,2014,36,49667.95763,49667.95763,0,126,92,51,8,128,61,6
Abargelie,Waghimira,2014,37,49667.95763,49667.95763,0,99,101,40,11,112,44,4
Abargelie,Waghimira,2014,38,49667.95763,49667.95763,0,129,159,52,22,136,44,11
Abargelie,Waghimira,2014,39,49667.95763,49667.95763,0,86,120,31,12,106,39,4
Abargelie,Waghimira,2014,40,49667.95763,49667.95763,0,88,94,25,11,128,51,1
Abargelie,Waghimira,2014,41,49667.95763,49667.95763,0,98,100,22,11,172,56,9
Abargelie,Waghimira,2014,42,49667.95763,49667.95763,0,103,108,23,11,194,58,11
Abargelie,Waghimira,2014,43,49667.95763,49667.95763,0,163,183,31,41,184,80,11
Abargelie,Waghimira,2014,44,49667.95763,49667.95763,0,126,118,21,15,142,87,3
Abargelie,Waghimira,2014,45,49667.95763,49667.95763,0,178,202,101,21,103,54,2
Abargelie,Waghimira,2014,46,49667.95763,49667.95763,0,188,147,61,24,132,102,1
Abargelie,Waghimira,2014,47,49667.95763,49667.95763,0,121,148,55,17,102,47,2
Abargelie,Waghimira,2014,48,49667.95763,49667.95763,0,180,164,79,25,128,71,5
Abargelie,Waghimira,2014,49,49667.95763,49667.95763,0,126,236,74,18,95,34,0
Abargelie,Waghimira,2014,50,49667.95763,49667.95763,0,119,216,66,19,126,31,3
Abargelie,Waghimira,2014,51,49667.95763,49667.95763,0,87,155,35,17,108,35,0
Abargelie,Waghimira,2014,52,49667.95763,49667.95763,0,79,106,41,15,71,22,1
Abargelie,Waghimira,2015,1,49667.95763,49667.95763,0,87,144,49,13,75,22,3
Abargelie,Waghimira,2015,2,49667.95763,49667.95763,0,94,84,54,20,64,20,0
Abargelie,Waghimira,2015,3,49667.95763,49667.95763,0,51,93,32,7,86,11,1
Abargelie,Waghimira,2015,4,49667.95763,49667.95763,0,37,65,17,13,48,7,0
Abargelie,Waghimira,2015,5,49667.95763,49667.95763,0,73,80,31,9,61,31,2
Abargelie,Waghimira,2015,6,49667.95763,49667.95763,0,49,69,27,8,71,14,0
Abargelie,Waghimira,2015,7,49667.95763,49667.95763,0,40,66,20,9,76,11,0
Abargelie,Waghimira,2015,8,49667.95763,49667.95763,0,51,71,17,9,71,25,0
Abargelie,Waghimira,2015,9,49667.95763,49667.95763,0,34,82,16,13,68,5,0
Abargelie,Waghimira,2015,10,49667.95763,49667.95763,0,31,54,16,5,71,10,0
Abargelie,Waghimira,2015,11,49667.95763,49667.95763,0,30,46,14,3,66,13,0
Abargelie,Waghimira,2015,12,49667.95763,49667.95763,0,32,49,9,5,84,18,0
Abargelie,Waghimira,2015,13,49667.95763,49667.95763,0,36,60,20,5,61,10,1
Abargelie,Waghimira,2015,14,49667.95763,49667.95763,0,31,42,5,5,92,21,0
Abargelie,Waghimira,2015,15,49667.95763,49667.95763,0,22,36,12,0,67,10,0
Abargelie,Waghimira,2015,16,49667.95763,49667.95763,0,6,22,2,1,62,3,0
Abargelie,Waghimira,2015,17,49667.95763,49667.95763,0,18,45,6,3,97,9,0
Abargelie,Waghimira,2015,18,49667.95763,49667.95763,0,27,102,16,3,82,8,0
Abargelie,Waghimira,2015,19,49667.95763,49667.95763,0,18,39,9,2,80,7,0
Abargelie,Waghimira,2015,20,49667.95763,49667.95763,0,19,38,8,3,97,8,0
Abargelie,Waghimira,2015,21,49667.95763,49667.95763,0,21,42,13,3,95,5,0
Abargelie,Waghimira,2015,22,49667.95763,49667.95763,0,22,56,9,6,76,7,0
Abargelie,Waghimira,2015,23,49667.95763,49667.95763,0,22,125,9,4,80,9,0
Abargelie,Waghimira,2015,24,49667.95763,49667.95763,0,21,61,8,8,65,5,0
Abargelie,Waghimira,2015,25,49667.95763,49667.95763,0,34,54,12,1,64,17,4
Abargelie,Waghimira,2015,26,49667.95763,49667.95763,0,21,47,3,0,89,16,2
Abargelie,Waghimira,2015,27,49667.95763,49667.95763,0,11,39,6,5,94,0,0
Abargelie,Waghimira,2015,28,50561.98086,50561.98086,0,15,15,2,6,57,6,1
Abargelie,Waghimira,2015,29,50561.98086,50561.98086,0,10,21,2,0,46,8,0
Abargelie,Waghimira,2015,30,50561.98086,50561.98086,0,15,18,7,1,58,7,0
Abargelie,Waghimira,2015,31,50561.98086,50561.98086,0,40,66,24,3,36,12,1
Abargelie,Waghimira,2015,32,50561.98086,50561.98086,0,39,54,21,9,32,9,0
Abargelie,Waghimira,2015,33,50561.98086,50561.98086,0,42,65,28,6,46,6,2
Abargelie,Waghimira,2015,34,50561.98086,50561.98086,0,41,44,17,1,58,23,0
Abargelie,Waghimira,2015,35,50561.98086,50561.98086,0,52,83,23,10,46,18,1
Abargelie,Waghimira,2015,36,50561.98086,50561.98086,0,49,64,13,8,60,27,1
Abargelie,Waghimira,2015,37,50561.98086,50561.98086,0,46,57,16,4,59,26,0
Abargelie,Waghimira,2015,38,50561.98086,50561.98086,0,61,70,29,6,73,26,0
Abargelie,Waghimira,2015,39,50561.98086,50561.98086,0,51,72,27,3,61,21,0
Abargelie,Waghimira,2015,40,50561.98086,50561.98086,0,67,80,29,9,98,29,0
Abargelie,Waghimira,2015,41,50561.98086,50561.98086,0,67,80,29,9,98,29,0
Abargelie,Waghimira,2015,42,50561.98086,50561.98086,0,65,40,11,6,86,48,0
Abargelie,Waghimira,2015,43,50561.98086,50561.98086,0,50,88,12,22,60,15,1
Abargelie,Waghimira,2015,44,50561.98086,50561.98086,0,55,101,32,6,86,17,0
Abargelie,Waghimira,2015,45,50561.98086,50561.98086,0,30,54,15,5,30,10,0
Abargelie,Waghimira,2015,46,50561.98086,50561.98086,0,47,50,24,4,43,19,0
Abargelie,Waghimira,2015,47,50561.98086,50561.98086,0,72,104,50,6,43,16,0
Abargelie,Waghimira,2015,48,50561.98086,50561.98086,0,61,123,35,10,53,16,0
