zone,woreda,epi_year,epi_week,popul_tot,tot_case,mal_case,mal_inc,conf_inc,pfm_inc,pv_inc,mal_prop,conf_prop,pfm_prop,pv_prop,pos_rate,pfm_pos_rate,pv_pos_rate,tmpa_obs,tmpa_anom,gpm_obs,gpm_anom,lstd_obs,lstd_anom,ndvi_obs,ndvi_anom,evi_obs,evi_anom,savi_obs,savi_anom,ndwi5_obs,ndwi5_anom,ndwi6_obs,ndwi6_anom
North Gondar,Metema,2012,28,101821.7186,1493,263,2.582945994,2.582945994,2.160639234,0.422306759,0.176155391,0.176155391,0.14735432,0.028801071,0.355405405,0.297297297,0.058108108,0.196066074,-9.699952424,0.196066074,-15.59840726,28.23108439,0.566127805,0.653700481,0.009175594,0.43359165,0.004505236,0.425688208,0.0041446,0.04360708,0.010798034,0.25956287,0.020431361
North Gondar,Metema,2012,29,101821.7186,2762,268,2.632051431,2.494556207,2.02314401,0.471412197,0.097031136,0.091962346,0.074583635,0.017378711,0.340939597,0.276510067,0.06442953,0.321192506,-5.464442616,0.321192506,-8.808878777,26.61117854,-0.814064607,0.659091677,-0.00512749,0.443817997,0.002042172,0.433932321,-0.00517035,0.047816588,0.006201263,NA,NA
North Gondar,Metema,2012,30,101821.7186,2660,374,3.673086698,3.673086698,3.172211239,0.500875459,0.140601503,0.140601503,0.121428571,0.019172932,0.445238095,0.384523809,0.060714285,7.772730943,-1.531685846,7.772730943,-0.425344471,25.68763098,-1.928395319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Gondar,Metema,2012,31,101821.7186,2204,459,4.50787913,4.50787913,4.144498895,0.363380235,0.208257713,0.208257713,0.191470054,0.016787658,0.378712871,0.348184818,0.030528052,4.115548287,-20.79885174,4.115548287,-15.53132238,26.41320675,-0.977781283,0.741924286,0.024251244,0.548722148,0.037463763,0.516244426,0.022093283,0.076609956,0.02096297,NA,NA
North Gondar,Metema,2012,32,101821.7186,1618,572,5.617662009,5.578377659,5.293566124,0.284811535,0.353522867,0.351050679,0.333127317,0.017923362,1.591036414,1.509803921,0.081232492,9.708719457,-9.700412286,9.708719457,-10.06690362,25.66647301,-1.579606459,0.742627904,-0.001926949,0.552363964,0.00502286,0.520986946,-0.001941568,0.068207659,0.012032401,0.325102936,0.019796147
North Gondar,Metema,2012,33,101821.7186,1965,635,6.236390517,6.236390517,5.568556572,0.667833945,0.323155216,0.323155216,0.288549618,0.034605597,0.581501831,0.519230769,0.062271062,0.005877679,-35.66047408,0.005877679,-26.70118617,25.02139768,-1.846229668,0.728217875,-0.009462882,0.537400915,-0.006110739,0.511389055,-0.007878198,0.056302724,0.002214016,0.293631112,-9.99816e-4
North Gondar,Metema,2012,34,101821.7186,1653,642,6.305138129,6.285495954,5.372134823,0.913361131,0.388384754,0.387174833,0.33091349,0.056261343,0.617760617,0.527992277,0.089768339,21.11271305,-9.044822925,21.11271305,-7.506697823,24.46507092,-2.019241524,0.729810515,-0.004154426,0.54169991,-9.47694e-4,0.517266189,-0.002163369,0.058366545,0.005950383,0.294697066,0.00182085
North Gondar,Metema,2012,35,101821.7186,783,713,7.002435337,6.972972074,6.118537468,0.854434606,0.910600255,0.906768837,0.795657726,0.111111111,0.387978142,0.340437158,0.047540983,6.612644897,-13.61766956,6.612644897,-18.93756127,28.91759654,1.978586945,0.737690258,-0.006254892,0.551614783,-0.001445864,0.526804644,-0.001613425,0.062071845,0.008734668,0.299985646,0.001451358
North Gondar,Metema,2012,36,101821.7186,1936,1031,10.12554114,9.703234379,9.339854145,0.363380235,0.532541322,0.510330578,0.491219008,0.01911157,0.376811594,0.362700228,0.014111365,1.885850669,-6.687501296,1.885850669,-8.532372027,28.07401077,0.995642016,0.748536078,-0.001651461,0.556626896,0.001918135,0.531305034,0.001861607,0.059941239,0.005570003,0.310715287,0.010020997
North Gondar,Metema,2012,37,101821.7186,2647,718,7.051540774,7.051540774,6.580128577,0.471412197,0.271250472,0.271250472,0.253116735,0.018133736,0.740970072,0.691434468,0.049535603,9.568734974,-2.818211349,9.568734974,-8.77000362,27.27782005,0.015773593,0.746850098,-0.005252015,0.548449194,-0.001150661,0.525129766,-7.78262e-4,0.056633961,0.003170699,0.307977355,0.004375733
North Gondar,Metema,2012,38,101821.7186,2450,928,9.113969134,9.074684784,8.269355615,0.805329169,0.37877551,0.377142857,0.343673469,0.033469387,0.542253521,0.494131455,0.048122065,0.01309819,-13.17939199,0.01309819,-15.22655298,27.60329812,-0.61609507,0.723229077,-0.020118565,0.511104245,-0.016003894,0.494642173,-0.013446005,0.043139304,-0.001477184,0.295163826,-1.46992e-4
North Gondar,Metema,2012,39,101821.7186,1745,833,8.180965828,4.969470239,4.340920643,0.628549595,0.477363896,0.289971346,0.253295128,0.036676217,1.047619047,0.915113871,0.132505175,8.263136215,-10.42635718,8.263136215,-12.77198121,28.76876957,-0.154006747,0.719160037,-0.008059908,0.490546205,-0.005023452,0.478112697,-0.004304495,0.034505646,0.004687827,0.278648585,0.005965908
North Gondar,Metema,2012,40,101821.7186,3952,2093,20.55553599,20.94837949,20.05466053,0.893718956,0.529605263,0.53972672,0.516700404,0.023026315,0.5688,0.544533333,0.024266666,23.69987198,9.115102387,23.69987198,8.230037857,30.23647258,0.390009788,0.700541581,-0.002593937,0.459135173,-9.62582e-4,0.451950643,-7.12963e-4,0.017699277,0.00366142,0.246167064,0.001949543
North Gondar,Metema,2012,41,101821.7186,3129,1473,14.46646178,14.46646178,11.82458926,2.641872518,0.47075743,0.47075743,0.384787472,0.085969958,0.630565068,0.515410958,0.115154109,4.929504302,-14.8985954,4.929504302,-15.22690048,30.49900072,-0.324598378,0.659850511,-0.010653585,0.41438,-0.007484854,0.41337118900000003,-0.006423499,-0.006091928,-0.002732593,0.199226635,-0.009997291
North Gondar,Metema,2012,42,101821.7186,3072,1204,11.82458926,11.82458926,9.58538133,2.239207934,0.391927083,0.391927083,0.317708333,0.07421875,0.537740062,0.435908887,0.101831174,2.73943899,-27.75071299,2.73943899,-21.40360482,35.20371573,3.261610664,0.608222353,-0.020002051,0.37058008,-0.008392587,0.374487176,-0.007804585,-0.027925376,-0.003954743,0.153438055,-0.010302182
North Gondar,Metema,2012,43,101821.7186,3497,2022,19.85823878,19.85823878,18.09044304,1.767795737,0.578209894,0.578209894,0.526737203,0.05147269,0.671760797,0.611960132,0.059800664,1.941057672,-11.82973115,1.941057672,-12.80225318,33.86298186,0.705741341,0.549197015,-0.031920015,0.326549363,-0.010600516,0.334509072,-0.010310912,-0.047571437,-0.003314279,0.109195818,-0.00698857
North Gondar,Metema,2012,44,101821.7186,3553,1691,16.60745884,17.53064106,13.48435304,4.046288021,0.475935828,0.502392344,0.386433999,0.115958345,0.551266213,0.424027177,0.127239036,21.61691078,-5.493504003,21.61691078,-1.741201949,34.47837556,-0.265245327,0.510566941,-0.021389421,0.29280767,-0.004526696,0.303948302,-0.004477178,-0.061289653,0.001913533,0.070866366,9.42826e-4
North Gondar,Metema,2012,45,101821.7186,6303,4662,45.78590959,45.90376264,44.1359669,1.767795737,0.739647786,0.741551642,0.712993812,0.028557829,0.678669957,0.652533759,0.026136198,8.551986958,-9.350269854,8.551986958,-7.926697655,36.11751738,-0.295731068,0.485079651,-0.002729815,0.267826426,0.003044549,0.281214529,0.003146522,-0.073057112,0.004836076,0.036233672,0.003516757
North Gondar,Metema,2012,46,101821.7186,2773,1607,15.7824875,15.7824875,14.28968221,1.492805289,0.579516768,0.579516768,0.524702488,0.05481428,0.836979166,0.7578125,0.079166666,15.07905414,1.991359171,15.07905414,1.994120585,37.20351062,0.063021811,0.448875335,0.004848765,0.243792153,0.007593716,0.258371395,0.007511954,-0.082816482,0.006670891,0.010459969,0.008478589
North Gondar,Metema,2012,47,101821.7186,3900,2360,23.17776633,23.17776633,22.27422629,0.903540043,0.605128205,0.605128205,0.581538461,0.023589743,0.708495947,0.680876613,0.027619333,19.84217022,5.086389723,19.84217022,6.675714056,36.88222502,-1.028157006,0.412413413,0.005081596,0.223069759,0.008913405,0.238306169,0.008710522,-0.091351396,0.006767416,-0.010435982,0.010960276
North Gondar,Metema,2012,48,101821.7186,2306,1175,11.53977773,11.53977773,10.2335731,1.306204628,0.509540329,0.509540329,0.4518647,0.057675628,0.706129807,0.626201923,0.079927884,0.772259114,-6.049506527,0.772259114,-3.62291134,36.30807671,-1.900993564,0.381798549,0.003782895,0.204821385,0.00748482,0.220703424,0.007497513,-0.10071228,0.004163305,-0.032269012,0.007403365
North Gondar,Metema,2012,49,101821.7186,2070,1033,10.14518331,10.14518331,9.192537833,0.952645481,0.499033816,0.499033816,0.452173913,0.046859903,0.683653209,0.619457313,0.064195896,0,-14.19382579,0,-11.9046509,39.84830437,1.326113636,0.362220769,0.008898536,0.193452833,0.0092020480000000009,0.209691472,0.009451836,-0.106490029,0.002755947,-0.046301403,0.006084677
North Gondar,Metema,2012,50,101821.7186,2030,933,9.163074571,9.163074571,7.434563183,1.728511387,0.459605911,0.459605911,0.372906403,0.086699507,0.601935483,0.488387096,0.113548387,36.76491933,24.29960919,36.76491933,24.33013286,38.8935305,0.320598516,0.34037894,0.007153679,0.182631688,0.008357056,0.198839063,0.008550962,-0.108762179,0.003241531,-0.054525328,0.006945235
North Gondar,Metema,2012,51,101821.7186,1965,1093,10.73444856,10.73444856,9.32021197,1.41423659,0.556234096,0.556234096,0.482951653,0.073282442,0.754313319,0.654934437,0.099378881,17.66522576,7.715213005,17.66522576,7.883301554,36.96547716,-1.678883749,0.320783809,0.003714705,0.173539332,0.007664038,0.189479778,0.00756133,-0.10817912,0.006455435,-0.057056248,0.0129583
North Gondar,Metema,2012,52,101821.7186,1619,724,7.110467298,7.110467298,6.177463993,0.933003306,0.447189623,0.447189623,0.388511426,0.058678196,0.755741127,0.6565762,0.099164926,1.624527882,-3.433521343,1.624527882,-3.222059368,36.85992616,-1.716558115,0.305360048,0.002597102,0.165154298,0.006811133,0.18111063,0.006773425,-0.109858492,0.006738196,-0.064078389,0.013100309
North Gondar,Metema,2013,1,101821.7186,2468,451,4.42931043,4.42931043,3.633802349,0.795508082,0.182739059,0.182739059,0.149918962,0.032820097,0.571609632,0.468948035,0.102661596,10.36619745,3.00980397,10.36619745,4.077511246,36.56701508,-2.081777515,0.293514007,0.004387027,0.157451338,0.006072874,0.173557466,0.006273677,-0.113246047,0.004360943,-0.07427673,0.008257927
North Gondar,Metema,2013,2,101821.7186,966,500,4.910543714,4.910543714,3.997182583,0.913361131,0.517598343,0.517598343,0.421325051,0.096273291,0.656167979,0.534120734,0.122047244,99.21055367,87.96083873,99.21055367,88.25577465,37.11585641,-0.770485072,0.285563618,0.007037775,0.153312815,0.006832559,0.169364657,0.007108791,-0.113426015,0.004066404,-0.078175823,0.007349938
North Gondar,Metema,2013,3,101821.7186,3042,805,7.90597538,7.90597538,6.668518364,1.237457016,0.264628533,0.264628533,0.223208415,0.041420118,0.568101623,0.479181369,0.088920254,3.201703327,-3.852985395,3.201703327,-3.852985395,39.8992255,1.180532527,0.275696274,0.005861801,0.149625491,0.0068988,0.165466152,0.007037284,-0.111840886,0.005348038,-0.078803333,0.009532781
North Gondar,Metema,2013,4,101821.7186,1574,571,5.607840922,5.607840922,4.498058042,1.109782879,0.362770012,0.362770012,0.290978398,0.071791613,0.536150234,0.430046948,0.106103286,0,-7.971810365,0,-7.323512727,40.25520623,-0.182209885,0.255259486,-0.0055772,0.139836502,9.08481e-4,0.155291953,7.68715e-4,-0.110365745,0.006607457,-0.081702647,0.009861086
North Gondar,Metema,2013,5,101821.7186,2091,546,5.362313736,5.362313736,4.203425419,1.158888317,0.261119081,0.261119081,0.204686752,0.056432329,0.580233793,0.454835281,0.125398512,1.874419207,-4.617434072,1.874419207,-4.595584664,39.24985539,-2.103517373,0.238685108,-0.013649839,0.132114018,-0.003059245,0.147383171,-0.003314405,-0.109237443,0.008063102,-0.085875391,0.009064794
North Gondar,Metema,2013,6,101821.7186,1442,495,4.861438277,4.861438277,4.232888682,0.628549595,0.343273231,0.343273231,0.298890429,0.044382801,0.523809523,0.456084656,0.067724867,0,-6.592986919,0,-6.592986919,42.12823013,-0.307176584,0.238903564,-0.006621987,0.13278501,5.91698e-4,0.148263651,6.15304e-4,-0.109931779,0.007281888,-0.090573031,0.007718381
North Gondar,Metema,2013,7,101821.7186,1698,580,5.696230709,5.696230709,4.900722627,0.795508082,0.341578327,0.341578327,0.293875147,0.04770318,0.523938572,0.450767841,0.073170731,3.312035795,-8.293087257,3.312035795,-8.293045715,43.52009476,0.778509091,0.240048441,0.001299394,0.133358901,0.003612941,0.148994676,0.003904982,-0.1111758,0.00430425,-0.094124653,0.004901872
North Gondar,Metema,2013,8,101821.7186,1786,577,5.666767446,5.666767446,4.105214545,1.561552901,0.323068309,0.323068309,0.234042553,0.089025755,0.514719,0.372881355,0.141837644,38.01677701,33.71321989,38.01677701,33.74006906,45.66511127,1.248915242,0.234455535,0.001664067,0.130917488,0.003073059,0.146536772,0.00343278,-0.110908226,0.002605,-0.096719206,0.002257724
