zone,woreda,epi_year,epi_week,popul_tot,tot_case,mal_case,rdt_pfm,rdt_pv,bf_pfm,bf_pv
West Gojjam,Mecha,2014,1,295089.1431,1690,89,17,36,14,22
West Gojjam,Mecha,2014,2,295089.1431,1447,70,17,16,19,18
West Gojjam,Mecha,2014,3,295089.1431,1673,78,14,28,11,25
West Gojjam,Mecha,2014,4,295089.1431,1582,82,26,36,5,14
West Gojjam,Mecha,2014,5,295089.1431,1732,75,17,23,15,20
West Gojjam,Mecha,2014,6,295089.1431,1844,48,6,16,8,18
West Gojjam,Mecha,2014,7,295089.1431,1515,35,4,17,7,7
West Gojjam,Mecha,2014,8,295089.1431,1869,54,5,16,10,23
West Gojjam,Mecha,2014,9,295089.1431,2194,57,10,30,2,15
West Gojjam,Mecha,2014,10,295089.1431,2071,40,3,9,8,20
West Gojjam,Mecha,2014,11,295089.1431,1866,35,6,4,7,18
West Gojjam,Mecha,2014,12,295089.1431,2330,50,13,18,8,11
West Gojjam,Mecha,2014,13,295089.1431,1845,35,6,14,0,15
West Gojjam,Mecha,2014,14,295089.1431,1878,21,2,5,2,12
West Gojjam,Mecha,2014,15,295089.1431,1648,28,1,10,3,14
West Gojjam,Mecha,2014,16,295089.1431,1590,17,1,6,2,8
West Gojjam,Mecha,2014,17,295089.1431,1718,21,3,4,0,14
West Gojjam,Mecha,2014,18,295089.1431,1607,34,3,16,3,12
West Gojjam,Mecha,2014,19,295089.1431,1547,41,3,14,5,19
West Gojjam,Mecha,2014,20,295089.1431,1700,46,6,18,2,20
West Gojjam,Mecha,2014,21,295089.1431,1751,26,4,4,6,12
West Gojjam,Mecha,2014,22,295089.1431,1599,28,1,12,2,13
West Gojjam,Mecha,2014,23,295089.1431,1683,34,7,12,3,12
West Gojjam,Mecha,2014,24,295089.1431,1995,27,2,14,0,11
West Gojjam,Mecha,2014,25,295089.1431,1738,38,6,16,1,15
West Gojjam,Mecha,2014,26,295089.1431,1832,28,8,7,1,12
West Gojjam,Mecha,2014,27,295089.1431,1537,20,6,4,4,6
West Gojjam,Mecha,2014,28,370028,1406,26,3,8,6,9
West Gojjam,Mecha,2014,29,370028,1687,29,6,3,7,13
West Gojjam,Mecha,2014,30,370028,1559,34,6,5,14,9
West Gojjam,Mecha,2014,31,370028,1586,26,2,3,7,14
West Gojjam,Mecha,2014,32,370028,2876,26,5,3,4,14
West Gojjam,Mecha,2014,33,370028,1906,43,9,9,9,16
West Gojjam,Mecha,2014,34,370028,2066,60,17,9,14,14
West Gojjam,Mecha,2014,35,370028,2195,99,34,8,27,30
West Gojjam,Mecha,2014,36,370028,2144,103,37,4,33,29
West Gojjam,Mecha,2014,37,370028,1918,106,48,5,37,16
West Gojjam,Mecha,2014,38,370028,2366,154,68,22,35,29
West Gojjam,Mecha,2014,39,370028,2373,116,41,12,43,20
West Gojjam,Mecha,2014,40,370028,2614,118,34,12,37,35
West Gojjam,Mecha,2014,41,370028,3852,67,23,19,8,17
West Gojjam,Mecha,2014,42,370028,2549,44,10,9,8,17
West Gojjam,Mecha,2014,43,370028,3020,220,96,18,79,27
West Gojjam,Mecha,2014,44,370028,3521,545,225,30,218,72
West Gojjam,Mecha,2014,45,370028,3958,408,131,16,231,30
West Gojjam,Mecha,2014,46,370028,3148,283,110,33,97,43
West Gojjam,Mecha,2014,47,370028,3646,207,79,14,78,36
West Gojjam,Mecha,2014,48,370028,3215,151,35,19,51,46
West Gojjam,Mecha,2014,49,370028,2688,112,20,21,36,35
West Gojjam,Mecha,2014,50,370028,2494,75,16,5,29,25
West Gojjam,Mecha,2014,51,370028,1882,47,4,3,15,25
West Gojjam,Mecha,2014,52,370028,2103,47,9,5,16,17
West Gojjam,Mecha,2015,1,370028,2175,49,3,3,19,24
West Gojjam,Mecha,2015,2,370028,2029,28,3,3,8,14
